,3PA,3PM,3PM-A,AST,BLK,DREB,FGA,FGM,FGM-A,FTA,FTM,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,player,player_pos,player_url,team_name
0,7,4,4-7,2,0,2,19,9,9-19,0,0,0-0,35,1,2,22,3,0,2,Georges Niang,F,http://espn.go.com/mens-college-basketball/player/_/id/61212/georges-niang,Iowa State Cyclones
1,0,0,0-0,2,4,8,7,4,4-7,0,0,0-0,37,5,1,8,13,0,1,Jameel McKay,F,http://espn.go.com/mens-college-basketball/player/_/id/3059361/jameel-mckay,Iowa State Cyclones
2,3,0,0-3,1,2,3,10,5,5-10,12,10,10-12,34,1,4,20,4,1,1,Abdel Nader,F,http://espn.go.com/mens-college-basketball/player/_/id/57136/abdel-nader,Iowa State Cyclones
3,2,1,1-2,3,0,6,12,8,8-12,4,3,3-4,40,1,0,20,7,1,3,Monte Morris,G,http://espn.go.com/mens-college-basketball/player/_/id/66146/monte-morris,Iowa State Cyclones
4,8,3,3-8,3,1,6,13,4,4-13,1,1,1-1,38,3,1,12,9,0,1,Matt Thomas,G,http://espn.go.com/mens-college-basketball/player/_/id/66147/matt-thomas,Iowa State Cyclones
5,0,0,0-0,0,0,1,2,0,0-2,0,0,0-0,10,1,2,0,2,0,1,Deonte Burton,G,http://espn.go.com/mens-college-basketball/player/_/id/66167/deonte-burton,Iowa State Cyclones
6,1,0,0-1,0,0,0,1,0,0-1,0,0,0-0,6,0,1,0,0,0,0,Jordan Ashton,G,http://espn.go.com/mens-college-basketball/player/_/id/3906479/jordan-ashton,Iowa State Cyclones
