,3PA,3PM,3PM-A,AST,BLK,DREB,FGA,FGM,FGM-A,FTA,FTM,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,player,player_pos,player_url,team_name
0,1,0,0-1,0,0,4,7,1,1-7,0,0,0-0,34,2,1,2,6,0,1,Ryan Spangler,F,http://espn.go.com/mens-college-basketball/player/_/id/56802/ryan-spangler,Oklahoma Sooners
1,0,0,0-0,0,3,3,1,0,0-1,0,0,0-0,26,1,4,0,4,1,1,Khadeem Lattin,F,http://espn.go.com/mens-college-basketball/player/_/id/3133609/khadeem-lattin,Oklahoma Sooners
2,5,4,4-5,4,0,6,15,10,10-15,2,2,2-2,37,1,3,26,7,0,3,Isaiah Cousins,G,http://espn.go.com/mens-college-basketball/player/_/id/61662/isaiah-cousins,Oklahoma Sooners
3,14,7,7-14,4,0,5,23,10,10-23,0,0,0-0,37,1,2,27,6,1,3,Buddy Hield,G,http://espn.go.com/mens-college-basketball/player/_/id/61663/buddy-hield,Oklahoma Sooners
4,5,1,1-5,5,0,2,8,2,2-8,0,0,0-0,31,1,4,5,3,1,1,Jordan Woodard,G,http://espn.go.com/mens-college-basketball/player/_/id/66305/jordan-woodard,Oklahoma Sooners
5,0,0,0-0,0,1,1,0,0,0-0,0,0,0-0,5,0,2,0,1,0,0,Akolda Manyang,C,http://espn.go.com/mens-college-basketball/player/_/id/3924877/akolda-manyang,Oklahoma Sooners
6,4,4,4-4,0,0,0,7,4,4-7,5,2,2-5,16,1,1,14,1,0,0,Dante Buford,F,http://espn.go.com/mens-college-basketball/player/_/id/3133608/dante-buford,Oklahoma Sooners
7,2,0,0-2,0,0,0,3,0,0-3,0,0,0-0,10,0,0,0,0,0,0,Dinjiyl Walker,G,http://espn.go.com/mens-college-basketball/player/_/id/3133611/dinjiyl-walker,Oklahoma Sooners
8,1,1,1-1,0,0,1,2,1,1-2,0,0,0-0,4,0,0,3,1,0,0,Christian James,G,http://espn.go.com/mens-college-basketball/player/_/id/3924876/christian-james,Oklahoma Sooners
9,7,4,4-7,2,0,2,19,9,9-19,0,0,0-0,35,1,2,22,3,0,2,Georges Niang,F,http://espn.go.com/mens-college-basketball/player/_/id/61212/georges-niang,Iowa State Cyclones
10,0,0,0-0,2,4,8,7,4,4-7,0,0,0-0,37,5,1,8,13,0,1,Jameel McKay,F,http://espn.go.com/mens-college-basketball/player/_/id/3059361/jameel-mckay,Iowa State Cyclones
11,3,0,0-3,1,2,3,10,5,5-10,12,10,10-12,34,1,4,20,4,1,1,Abdel Nader,F,http://espn.go.com/mens-college-basketball/player/_/id/57136/abdel-nader,Iowa State Cyclones
12,2,1,1-2,3,0,6,12,8,8-12,4,3,3-4,40,1,0,20,7,1,3,Monte Morris,G,http://espn.go.com/mens-college-basketball/player/_/id/66146/monte-morris,Iowa State Cyclones
13,8,3,3-8,3,1,6,13,4,4-13,1,1,1-1,38,3,1,12,9,0,1,Matt Thomas,G,http://espn.go.com/mens-college-basketball/player/_/id/66147/matt-thomas,Iowa State Cyclones
14,0,0,0-0,0,0,1,2,0,0-2,0,0,0-0,10,1,2,0,2,0,1,Deonte Burton,G,http://espn.go.com/mens-college-basketball/player/_/id/66167/deonte-burton,Iowa State Cyclones
15,1,0,0-1,0,0,0,1,0,0-1,0,0,0-0,6,0,1,0,0,0,0,Jordan Ashton,G,http://espn.go.com/mens-college-basketball/player/_/id/3906479/jordan-ashton,Iowa State Cyclones
