,3PA,3PM,3PM-A,AST,BLK,DREB,FGA,FGM,FGM-A,FTA,FTM,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,player,player_pos,player_url,team_name
0,1,0,0-1,0,0,4,7,1,1-7,0,0,0-0,34,2,1,2,6,0,1,Ryan Spangler,F,http://espn.go.com/mens-college-basketball/player/_/id/56802/ryan-spangler,Oklahoma Sooners
1,0,0,0-0,0,3,3,1,0,0-1,0,0,0-0,26,1,4,0,4,1,1,Khadeem Lattin,F,http://espn.go.com/mens-college-basketball/player/_/id/3133609/khadeem-lattin,Oklahoma Sooners
2,5,4,4-5,4,0,6,15,10,10-15,2,2,2-2,37,1,3,26,7,0,3,Isaiah Cousins,G,http://espn.go.com/mens-college-basketball/player/_/id/61662/isaiah-cousins,Oklahoma Sooners
3,14,7,7-14,4,0,5,23,10,10-23,0,0,0-0,37,1,2,27,6,1,3,Buddy Hield,G,http://espn.go.com/mens-college-basketball/player/_/id/61663/buddy-hield,Oklahoma Sooners
4,5,1,1-5,5,0,2,8,2,2-8,0,0,0-0,31,1,4,5,3,1,1,Jordan Woodard,G,http://espn.go.com/mens-college-basketball/player/_/id/66305/jordan-woodard,Oklahoma Sooners
5,0,0,0-0,0,1,1,0,0,0-0,0,0,0-0,5,0,2,0,1,0,0,Akolda Manyang,C,http://espn.go.com/mens-college-basketball/player/_/id/3924877/akolda-manyang,Oklahoma Sooners
6,4,4,4-4,0,0,0,7,4,4-7,5,2,2-5,16,1,1,14,1,0,0,Dante Buford,F,http://espn.go.com/mens-college-basketball/player/_/id/3133608/dante-buford,Oklahoma Sooners
7,2,0,0-2,0,0,0,3,0,0-3,0,0,0-0,10,0,0,0,0,0,0,Dinjiyl Walker,G,http://espn.go.com/mens-college-basketball/player/_/id/3133611/dinjiyl-walker,Oklahoma Sooners
8,1,1,1-1,0,0,1,2,1,1-2,0,0,0-0,4,0,0,3,1,0,0,Christian James,G,http://espn.go.com/mens-college-basketball/player/_/id/3924876/christian-james,Oklahoma Sooners
