,pts,reb,dreb,oreb,to,ast,fga,fgm,tpa,tpm,fgper,ftper,tpper,stl,pf,blk,wl_int
346,0.183676132768,-0.0691455692901,-0.0229878837136,-0.107453255891,0.370536423578,0.234962988522,0.176887113178,0.268584461111,0.0,-0.195265475353,0.194804249072,-0.152006216427,-0.29083761455,0.361482651675,0.499856058579,-0.0999727121209,-1
347,0.441671026497,0.145157487107,0.158485610065,0.0428112424873,-0.159839583458,0.119867389531,0.0830377281148,0.27476832929,0.0624937582496,0.0956305667167,0.318346599859,0.565665394677,0.175671269941,0.255808990408,0.177383349379,0.0683548123555,1
348,-0.0248159127315,0.0963124922465,0.03166591771,0.113046071215,0.246858081833,0.0562974394094,0.277889927305,0.128453396527,-0.419141654311,-0.196177973878,-0.054704861259,-0.199839460655,0.115726400952,0.412797197345,0.113919058703,-0.0397758734816,-1
349,0.323035145202,0.274264890944,0.204710397847,0.180323810415,-0.0383637709707,0.0694918288164,0.293743886873,0.320329150243,-0.0558839908077,-0.0350188164736,0.147526885293,-0.561009446325,0.0396489393774,-0.156673166218,0.278744577535,0.0,-1
350,-0.0564288558914,0.125343843762,0.22032667586,-0.057238547391,0.077930993437,-0.132700382096,0.268544496719,-0.0137701509797,0.106896702183,-0.053736847468,-0.191811498076,0.0629807136483,-0.0540087348102,-0.0797632648937,0.2497286199,0.0714758236007,-1
351,0.216965540858,-0.135570459658,-0.406789878028,0.329022589697,-0.366120309513,0.168152134554,0.163743242298,0.117914429283,0.16467216904,0.382250288447,0.0363723877264,0.168582242731,0.374831344479,0.161021270185,-0.168732709343,-0.370882441977,1
352,-0.188326468891,-0.505464367896,-0.407872517408,-0.333671627533,0.0594916015066,0.120898882979,-0.568738738477,-0.197483735728,0.0347109997876,0.280239377291,0.234630218717,0.18697622956,0.285937377968,0.360715779578,-0.229510358048,-0.343751258557,1
353,0.112149128616,-0.0600396696712,0.142796521175,-0.297564301934,0.473230848615,-0.0369172521921,0.129308627533,0.223829622235,-0.132371216512,-0.053736847468,0.150598892698,-0.278047309383,0.0330942464096,0.142036554595,0.56186348045,0.181369378239,1
354,-0.392676485722,0.407367515597,0.321894923914,0.32148012052,0.488701204056,0.0180135496325,0.113412645236,-0.289859021415,0.440946103204,0.126317198723,-0.420303800455,-0.4261935566,-0.318980521776,-0.482284386813,-0.186263004621,0.413720925955,1
355,0.329258829038,0.457926510975,0.434881162338,0.238998119036,0.0193626579197,-0.0282599211959,0.484791861173,0.234822871699,0.682119125055,0.367499226219,-0.0583601364112,0.0437340624073,-0.087432763704,-0.0691388917731,0.23169973705,0.104834921637,1
356,-0.123401937343,-0.609699168582,-0.556980391129,-0.276016724675,0.277332057883,-0.167913829978,-0.343712720008,0.0776981088609,-0.618302329159,-0.57934151615,0.340662022872,-0.17204093788,0.013164072637,0.313833192586,-0.0539258805936,-0.0999727121209,1
357,0.212712411934,0.109150437074,0.0310139848154,0.149367381368,0.0186741528184,-0.0160504255798,0.0210955199528,0.126255579908,0.14467015514,0.229908318432,0.116654001759,-0.451774708537,0.061218928082,0.0287284839254,0.411844424328,-0.18747817409,1
358,-0.122321392614,-0.0920062982506,-0.223792433037,0.161794964579,0.232107831609,-0.144361498333,0.0191202917762,-0.0313030532502,0.363765561836,0.325339387047,-0.0502277992654,-0.102673431075,0.0465119720247,-0.0524297154621,-0.103012355568,0.0649769978022,1
359,0.29654680037,0.344323435473,0.414911449587,-0.0215475772591,-0.077930993437,0.362753964636,0.203316787192,0.287182205749,0.0136601389014,0.378299557488,0.179126919997,0.152151687727,0.539280019004,-0.2459855925,0.19494959591,0.242801104668,1
360,0.255650872686,0.348628127963,0.339136723838,0.171442893647,0.200687509022,0.0672177686447,0.122070062777,0.22558001821,0.1118411112,0.117632074031,0.120606640929,0.00629830965699,0.0175118877657,-0.513046192849,0.628997079619,0.0,1
361,0.26427639072,0.239195887534,0.305411493669,0.0,-0.220026476728,0.0760788170005,0.0594104986253,0.12931503973,0.443460563271,0.333562002244,0.111208422594,-0.331046524908,-0.0151002981009,0.0273158639873,-0.0893578943303,0.251776927846,-1
362,-0.0995180995204,0.0486258908228,-0.198707719102,0.358176585607,-0.26431855529,0.0936807256587,0.135811231534,-0.0466610791493,-0.373671168053,-0.196766634543,-0.139998903426,-0.0293262120443,0.168448652329,-0.113951622378,-0.385728275303,-0.322044872037,-1
363,-0.188232699087,0.0622902500833,0.139264676098,-0.057238547391,0.295490068025,0.343044423206,-0.311088293748,-0.16257979343,0.181472691103,0.105134967127,0.0368486467393,0.142356220594,-0.0384944702841,-0.0720593238383,-0.0475940159435,0.036123758212,1
364,0.189521439512,0.47209591919,0.533562633458,0.0878323965385,-0.0178762325741,-0.114770369399,0.0106194539233,-0.060948402316,0.226222131331,0.026551711406,-0.088087164852,-0.329666540502,-0.24855412105,-0.28330404096,0.284544313515,0.129786538784,-1
365,0.307706976051,0.170221815635,-0.067907531418,0.419199899671,0.163711752747,0.28082613376,0.613215209561,0.570277768137,0.249228645476,0.483057648896,0.202940572989,-0.452235347864,0.394536911363,-0.0737070905554,0.288938334854,0.0999727121209,-1
366,0.127152124016,-0.0895806598449,-0.0409265031016,-0.129495144569,0.220094359543,0.193593912604,-0.223497533333,0.300770909569,-0.445686766865,-0.140818573938,0.468839677081,-0.387745774346,0.191517544989,0.021975141369,-0.0442207264838,-0.300253862699,-1
367,0.309330769021,0.179595747201,0.179750335633,0.105399538048,0.13683144213,-0.215226777544,0.244593053286,0.204855754335,0.171072804724,0.101510602371,0.0734882588577,-0.106171201035,-0.0757273435279,-0.134690324572,0.45442162183,-0.234516261979,-1
368,0.0163906348196,0.19256451578,0.0,0.333671627533,-0.159839583458,0.0,0.105617452891,-0.0446653641462,0.333861251196,0.165662551285,-0.126146816838,0.121450366228,-0.076113778536,0.0,-0.536835235188,0.271059875029,1
369,-0.0291341195612,-0.134176528527,-0.110740337197,-0.100983685491,-0.0892474501462,-0.324929226357,-0.132761402344,0.0702956812586,-0.706072126583,-0.427084089434,0.139768953796,-0.0377063993756,0.212253921024,-0.161021270185,-0.19090905426,0.0394678938881,-1
370,0.256084139341,0.477877111877,0.463106523318,0.237826204524,0.16070911415,0.0,0.393601078426,0.0652679819516,0.279012383136,0.212909574985,-0.229277709672,-0.0944043857643,-0.0434499240721,-0.681932160575,0.3905437871,0.0947908244655,-1
